support_tick_id,support_ticket_text,combined_text,zero_shot_top3,few_shot_top3,zero_top1,few_top1
ST2023-006,"My internet connection has significantly slowed down over the past two days, making it challenging to work efficiently from home. Frequent disconnections are causing major disruptions. Please assist in resolving this connectivity issue promptly.","My internet connection has significantly slowed down over the past two days, making it challenging to work efficiently from home. Frequent disconnections are causing major disruptions. Please assist in resolving this connectivity issue promptly.","[('Complaint', 0.5884302854537964), ('Feature Request', 0.11437445133924484), ('Account Access', 0.06227874383330345)]","[('Complaint', 0.3858220875263214), ('Account Access', 0.1349785178899765), ('Technical Bug', 0.1333002746105194)]",Complaint,Complaint
ST2023-007,"Urgent help required! My laptop refuses to start, and I have a crucial presentation scheduled for tomorrow. I've attempted a restart, but it hasn't worked. Please provide immediate assistance to resolve this hardware issue","Urgent help required! My laptop refuses to start, and I have a crucial presentation scheduled for tomorrow. I've attempted a restart, but it hasn't worked. Please provide immediate assistance to resolve this hardware issue","[('Complaint', 0.5362733006477356), ('Technical Bug', 0.11823228746652603), ('Feature Request', 0.08701496571302414)]","[('Complaint', 0.31917351484298706), ('Technical Bug', 0.17869576811790466), ('Account Access', 0.14265397191047668)]",Complaint,Complaint
ST2023-008,"I've accidentally deleted essential work documents, causing substantial data loss. I understand the need to avoid further actions on my device. Can you please prioritize the data recovery process and guide me through it?","I've accidentally deleted essential work documents, causing substantial data loss. I understand the need to avoid further actions on my device. Can you please prioritize the data recovery process and guide me through it?","[('Complaint', 0.5198385119438171), ('Delivery Issue', 0.10711483657360077), ('Feature Request', 0.10643160343170166)]","[('Complaint', 0.4263981282711029), ('Technical Bug', 0.1280578374862671), ('Account Access', 0.11166337132453918)]",Complaint,Complaint
ST2023-009,"Despite being in close proximity to my Wi-Fi router, the signal remains persistently weak in my home. This issue has been ongoing, and I need assistance troubleshooting it. Please help me resolve the weak Wi-Fi signal problem.","Despite being in close proximity to my Wi-Fi router, the signal remains persistently weak in my home. This issue has been ongoing, and I need assistance troubleshooting it. Please help me resolve the weak Wi-Fi signal problem.","[('Complaint', 0.4522739052772522), ('Feature Request', 0.16979026794433594), ('Technical Bug', 0.08531197905540466)]","[('Complaint', 0.40026649832725525), ('Technical Bug', 0.14560344815254211), ('Account Access', 0.12119386345148087)]",Complaint,Complaint
ST2023-010,"My smartphone battery is draining rapidly, even with minimal use. Can you help me identify and rectify this battery issue?","My smartphone battery is draining rapidly, even with minimal use. Can you help me identify and rectify this battery issue?","[('Complaint', 0.5383073091506958), ('Feature Request', 0.15424716472625732), ('Refund Request', 0.07239837944507599)]","[('Complaint', 0.44727325439453125), ('Account Access', 0.11898862570524216), ('Technical Bug', 0.10078295320272446)]",Complaint,Complaint
ST2023-011,I'm locked out of my online banking account and need immediate assistance in resetting my password for an urgent transaction.,I'm locked out of my online banking account and need immediate assistance in resetting my password for an urgent transaction.,"[('Account Access', 0.23501749336719513), ('Password Reset', 0.21249155700206757), ('Complaint', 0.19018696248531342)]","[('Password Reset', 0.5666700005531311), ('Account Access', 0.17976492643356323), ('Subscription Problem', 0.069489024579525)]",Account Access,Password Reset
ST2023-012,"My computer's performance is sluggish, severely impacting my work. I need help optimizing it to regain productivity.","My computer's performance is sluggish, severely impacting my work. I need help optimizing it to regain productivity.","[('Complaint', 0.4292871952056885), ('Feature Request', 0.10226364433765411), ('Delivery Issue', 0.09398937225341797)]","[('Complaint', 0.4068184792995453), ('Technical Bug', 0.1473037153482437), ('Account Access', 0.09487339109182358)]",Complaint,Complaint
ST2023-013,"I'm experiencing a recurring blue screen error on my PC, causing frequent crashes. Help me diagnose and resolve this hardware issue.","I'm experiencing a recurring blue screen error on my PC, causing frequent crashes. Help me diagnose and resolve this hardware issue.","[('Complaint', 0.4386224150657654), ('Technical Bug', 0.1652386486530304), ('Feature Request', 0.1528962105512619)]","[('Complaint', 0.34486719965934753), ('Technical Bug', 0.16711878776550293), ('Account Access', 0.11015698313713074)]",Complaint,Complaint
ST2023-014,My external hard drive isn't being recognized by my computer. I need assistance recovering vital data stored on it.,My external hard drive isn't being recognized by my computer. I need assistance recovering vital data stored on it.,"[('Complaint', 0.336175799369812), ('Feature Request', 0.19238919019699097), ('Account Access', 0.11030317842960358)]","[('Complaint', 0.4349938631057739), ('Account Access', 0.14493001997470856), ('Technical Bug', 0.11895779520273209)]",Complaint,Complaint
ST2023-015,"The graphics card in my gaming laptop seems to be malfunctioning, causing poor gaming performance. Can you assist in diagnosing and fixing this hardware issue?","The graphics card in my gaming laptop seems to be malfunctioning, causing poor gaming performance. Can you assist in diagnosing and fixing this hardware issue?","[('Complaint', 0.4454989731311798), ('Feature Request', 0.15335054695606232), ('Account Access', 0.10070698708295822)]","[('Complaint', 0.4078618884086609), ('Technical Bug', 0.18864469230175018), ('Account Access', 0.12670552730560303)]",Complaint,Complaint
